Игрок,Координаты,Очки,Копья,Мечи,Топоры,Лазы,ЛК,ТК,Тараны,Каты,Пал,Двор
9731,431|582,1748,336,1050,0,500,0,0,0,0,0,0
9731,507|583,10636,0,0,711,89,300,0,67,10,0,0
9731,499|586,10013,5147,11491,0,364,260,0,10,31,0,0
9731,517|576,11112,1846,5255,0,247,231,0,5,34,1,0
9731,500|589,10070,4026,12091,0,294,535,0,10,202,1,0
9731,508|586,10355,4877,11430,0,180,319,0,5,44,1,0
9731,504|590,10495,0,0,600,150,268,0,68,10,1,0
9731,525|601,10588,4246,12127,0,142,203,0,2,36,0,0
9731,430|580,9976,2190,6500,0,500,934,148,10,202,0,4
9731,472|604,10083,3915,13178,0,140,226,0,3,40,0,0
9731,428|580,9422,2061,6129,0,500,900,200,10,202,0,0
9731,462|599,9550,4484,13412,0,220,49,0,4,10,0,0
9731,408|553,1133,200,450,0,0,0,0,0,0,0,0
8Taras8,494|564,9289,13096,3156,0,581,0,0,4,0,0,1
8Taras8,493|564,9558,15798,3451,0,174,0,0,10,0,0,0
8Taras8,494|566,9561,12346,4810,0,416,0,0,8,0,0,1
8Taras8,494|567,9760,9708,9398,0,100,0,0,0,0,1,0
8Taras8,493|568,10802,6888,785,0,325,0,0,6,0,0,2
8Taras8,493|569,9650,13521,5185,0,438,0,0,15,0,0,3
8Taras8,494|570,9674,15705,3531,0,275,0,0,10,0,0,3
8Taras8,493|573,10097,0,0,0,169,3062,0,101,0,0,3
8Taras8,494|575,9673,9540,9160,0,437,0,0,19,0,1,2
8Taras8,492|577,9558,16053,3304,0,304,0,0,5,0,0,3
8Taras8,491|578,9470,14836,4067,0,514,0,0,18,0,0,3
8Taras8,490|579,9675,15577,3659,0,255,0,0,7,0,0,3
8Taras8,489|580,9533,14272,3970,0,674,0,0,14,0,0,2
8Taras8,490|581,9643,12604,5538,0,882,0,0,18,0,0,4
8Taras8,486|575,10003,9064,9200,0,491,0,0,10,0,0,4
8Taras8,459|577,9471,14654,5704,0,338,0,0,12,0,0,4
8Taras8,458|601,2384,398,573,0,0,0,0,0,0,0,0
8Taras8,431|575,8959,8821,8030,0,511,0,0,10,0,0,0
8Taras8,428|575,9170,4126,4286,0,400,0,0,10,0,0,3
8Taras8,427|576,4464,5044,4900,0,110,0,0,10,0,0,0
8Taras8,413|568,491,209,0,0,0,0,0,0,0,0,0
8Taras8,495|588,10099,0,0,3618,97,3236,0,159,0,0,3
8Taras8,497|590,9381,9940,4992,0,637,0,0,30,0,0,4
8Taras8,497|592,9403,16725,3936,0,492,0,0,13,0,0,2
8Taras8,482|604,7522,11413,10682,0,336,0,0,15,0,0,0
8Taras8,482|607,3273,2200,2404,0,0,0,0,0,0,0,0
8Taras8,505|593,9454,15064,3617,0,491,0,0,11,0,0,2
8Taras8,505|598,9483,7071,10936,0,450,0,0,20,0,0,1
8Taras8,507|603,6529,6125,11118,0,347,0,0,19,0,0,0
8Taras8,508|603,7535,3921,8937,0,290,0,0,12,0,0,1
8Taras8,499|587,9557,11379,4924,0,853,0,0,14,0,0,4
8Taras8,501|585,9654,9146,5006,0,566,0,0,20,0,0,4
8Taras8,503|583,10114,0,0,5815,93,2899,0,186,0,0,3
8Taras8,509|580,11095,4935,3575,0,358,0,0,0,0,0,0
8Taras8,506|587,10002,0,0,4648,115,2892,0,305,0,0,4
8Taras8,508|587,9558,11962,4378,0,519,0,0,14,0,0,2
8Taras8,511|588,10057,0,0,0,43,0,0,3,0,0,0
8Taras8,513|585,10093,8755,7994,0,243,0,0,13,0,1,2
