Игрок;Координаты;Очки;Копья;Мечи;Топоры;Лазы;ЛК;ТК;Тараны;Каты;Пал;Двор
9731;431|582;9537;4300;12604;0;192;713;0;6;127;0;0
9731;507|583;10636;0;0;6084;143;2000;0;600;10;1;8
9731;499|586;10013;4751;12260;0;463;501;0;4;150;0;0
9731;517|576;11243;2355;6981;0;260;214;0;1;124;1;0
9731;500|589;10070;4484;13416;25;200;435;0;2;102;1;1
9731;508|586;10355;4439;11676;0;228;757;0;8;200;1;1
9731;504|590;10495;0;0;5862;139;2569;0;600;10;0;7
9731;525|601;10753;4503;14291;1;121;231;0;1;150;0;4
9731;430|580;9976;3491;10561;0;341;879;199;5;150;0;6
9731;472|604;10083;4657;13548;0;241;374;0;0;71;0;0
9731;428|580;9840;3700;11060;480;392;760;191;0;141;0;2
9731;462|599;9550;4872;14773;0;203;228;0;5;64;0;2
9731;408|553;9765;4109;12285;0;300;541;0;5;45;0;0
9731;479|608;8663;3600;7873;0;716;1590;0;10;212;0;0
9731;397|536;9903;3613;10672;1;400;905;0;5;220;0;0
8Taras8;431|575;9495;10192;10474;0;150;0;0;10;0;1;18
8Taras8;428|575;9316;10264;10407;0;200;0;0;10;0;1;18
8Taras8;427|576;9309;9251;9267;0;370;0;0;5;0;1;34
8Taras8;417|575;1463;515;535;0;0;0;0;0;0;0;0
8Taras8;413|568;9386;10250;9844;0;380;0;0;10;0;1;17
8Taras8;408|555;5960;3127;3303;0;410;0;0;15;0;0;0
8Taras8;458|601;9315;0;0;10095;199;2122;0;500;0;1;12
8Taras8;458|600;1941;1212;1095;0;0;0;0;0;0;0;0
8Taras8;454|600;5757;0;1;6284;100;2334;0;290;0;1;0
8Taras8;466|601;11112;5385;4690;0;490;1122;0;20;300;0;6
AdreNoliN;459|540;7851;0;0;9499;28;1603;0;597;0;0;6
AdreNoliN;458|540;7122;10781;9588;0;71;0;0;0;0;1;0
AdreNoliN;433|589;1388;0;0;0;0;0;0;0;0;0;0
AdreNoliN;434|550;6852;11932;8731;0;260;0;0;5;0;0;0
AdreNoliN;456|545;7029;4262;2814;0;72;0;0;0;0;1;0
AdreNoliN;489|538;7851;0;0;7842;73;2010;0;664;0;0;5
AdreNoliN;448|548;7851;0;0;9934;54;1357;0;517;0;0;7
AdreNoliN;454|570;6852;12081;8237;0;347;0;0;8;0;0;0
AdreNoliN;448|547;6816;9618;3221;0;1044;0;0;25;0;0;0
AdreNoliN;436|568;7636;0;0;9807;31;2256;0;454;0;0;5
AdreNoliN;459|541;8421;5086;5040;0;29;0;0;0;0;0;0
AdreNoliN;441|539;6879;12124;8973;0;533;0;0;17;0;0;0
AdreNoliN;447|548;6849;12518;9543;0;489;0;0;31;0;0;0
AdreNoliN;415|540;6769;9480;9482;17;758;0;200;53;0;0;0
AdreNoliN;420|528;6849;11526;9908;0;203;0;0;2;0;0;0
AdreNoliN;417|529;6812;12162;8562;0;579;0;0;2;0;0;0
AdreNoliN;413|543;6849;12137;9016;0;347;0;0;1;0;0;0
AdreNoliN;401|525;6849;11480;9715;0;321;0;0;3;0;0;0
AdreNoliN;407|540;6849;10442;10982;0;209;0;0;2;0;0;0
AdreNoliN;398|515;6852;10368;10358;0;556;0;0;3;0;0;0
AdreNoliN;396|527;4213;0;0;0;0;0;0;0;0;0;0
AdreNoliN;396|525;6927;1915;1825;0;300;0;0;24;0;0;0
AdreNoliN;446|549;6849;11033;5947;0;757;0;0;23;0;0;0
AdreNoliN;478|582;6849;14941;7188;0;563;0;0;8;0;0;0
AdreNoliN;460|578;6863;12029;9118;0;342;0;0;4;0;0;0
AdreNoliN;447|572;6849;12203;7716;0;370;0;0;2;0;0;0
AdreNoliN;454|580;6849;14002;7050;0;371;0;0;1;0;0;0
AdreNoliN;456|589;6849;11868;9418;0;280;0;0;1;0;0;0
AdreNoliN;445|571;6820;10343;9859;0;486;0;100;33;0;0;0
AdreNoliN;425|571;6852;10696;10475;0;256;0;0;2;0;0;0
AdreNoliN;431|580;6852;9404;10422;0;350;0;0;3;0;0;0
AdreNoliN;404|504;6998;9356;8276;0;242;0;327;16;0;0;5
AdreNoliN;404|507;7598;0;0;8488;36;1512;0;572;0;0;5
AdreNoliN;448|546;7629;0;0;9131;30;1648;0;550;0;0;5
AdreNoliN;448|550;6849;12457;7854;0;719;0;0;28;0;0;0
AdreNoliN;446|547;6849;10416;6846;0;730;0;0;22;0;0;0
AdreNoliN;502|535;7122;10330;8989;0;394;0;0;0;0;1;0
AdreNoliN;408|505;6849;11851;9147;0;424;0;0;1;0;0;0
AdreNoliN;402|501;6849;10142;10817;0;441;0;0;2;0;0;0
